id,name,email,phoneNumber,address,fines
1000,Customer 1000,customer1000@email.com,071000000000,1000 Main Street,0
1001,Customer 1001,customer1001@email.com,071001000000,1001 Main Street,0
1002,Customer 1002,customer1002@email.com,071002000000,1002 Main Street,2.5
1003,Customer 1003,customer1003@email.com,071003000000,1003 Main Street,0
1004,Customer 1004,customer1004@email.com,071004000000,1004 Main Street,0
1005,Customer 1005,customer1005@email.com,071005000000,1005 Main Street,0
1006,Customer 1006,customer1006@email.com,071006000000,1006 Main Street,2.5
1007,Customer 1007,customer1007@email.com,071007000000,1007 Main Street,2.5
1008,Customer 1008,customer1008@email.com,071008000000,1008 Main Street,0
1009,Customer 1009,customer1009@email.com,071009000000,1009 Main Street,2.5
1010,Customer 1010,customer1010@email.com,071010000000,1010 Main Street,0
1011,Customer 1011,customer1011@email.com,071011000000,1011 Main Street,5
1012,Customer 1012,customer1012@email.com,071012000000,1012 Main Street,0
1013,Customer 1013,customer1013@email.com,071013000000,1013 Main Street,0
1014,Customer 1014,customer1014@email.com,071014000000,1014 Main Street,2.5
1015,Customer 1015,customer1015@email.com,071015000000,1015 Main Street,0
1016,Customer 1016,customer1016@email.com,071016000000,1016 Main Street,0
1017,Customer 1017,customer1017@email.com,071017000000,1017 Main Street,0
1018,Customer 1018,customer1018@email.com,071018000000,1018 Main Street,2.5
1019,Customer 1019,customer1019@email.com,071019000000,1019 Main Street,0
1020,Customer 1020,customer1020@email.com,071020000000,1020 Main Street,0
1021,Customer 1021,customer1021@email.com,071021000000,1021 Main Street,0
1022,Customer 1022,customer1022@email.com,071022000000,1022 Main Street,2.5
1023,Customer 1023,customer1023@email.com,071023000000,1023 Main Street,0
1024,Customer 1024,customer1024@email.com,071024000000,1024 Main Street,0
1025,Customer 1025,customer1025@email.com,071025000000,1025 Main Street,0
1026,Customer 1026,customer1026@email.com,071026000000,1026 Main Street,5
1027,Customer 1027,customer1027@email.com,071027000000,1027 Main Street,5
1028,Customer 1028,customer1028@email.com,071028000000,1028 Main Street,0
1029,Customer 1029,customer1029@email.com,071029000000,1029 Main Street,5
